model,summary,article,faithfulness,coherence,relevance
anthropic_stanford-online-all-v4-s3,"A Chinese woman who had plastic surgery to change the shape of her face has sued the hospital for damages, claiming it left her in pain.","Though the unverified story was short on details, and did not have the husband's side of the story, ""divorced because of fat face"" quickly became a top trend on microblogging network Weibo. State media picked up the story on Thursday, which was first reported in a local evening paper earlier this week. Liaoshen Wanbao reported the 49-year-old woman in Shenyang city had claimed her husband had divorced her 10 years ago because he disliked the shape of her face, said to be ""large and square"" with ""fat cheeks"". She said it spurred her to undergo facial surgery three times at a local hospital to shave her jawbones and reshape her face into a slimmer shape. During the third surgery the doctors discovered that if they proceeded further her nerves may be damaged, and halted the procedure. The woman, identified only by her surname Wang, later sued the hospital for 1.7 million yuan ($260,900; Â£183,900) in damages. She alleged the surgery had left her with soreness in her chin, and she could only eat and drink through a straw as ""when she exerted force on her lower jaw, she had the sensation that it would break"". The hospital, however, argued that the surgeries were conducted according to regulations, and pointed out that they encouraged her to seek psychiatric help instead of a third operation, which she refused. After mediation the woman agreed to accept 20,000 yuan ($3,100, Â£2,200) as compensation, said the report. On Weibo, some condemned the woman's husband, but others also chastised the woman. One top-voted comment read: ""It's purely an excuse, if her face was large then why did he decide to marry her in the first place? If he stopped loving her then he should have just said so."" It continued: ""This woman is also very silly to have believed that her face shape was the real reason for the divorce, she is lying to herself."" Said another Weibo user: ""Even if you had gone for facial surgery and made your face smaller, he would still have found other reasons to divorce you."" One person noted the sharp difference in the compensation amount and voiced suspicions: ""1.7 million was dropped to 20,000, it makes me wonder if she really did have a problem with her jaw."" Still others took the opportunity to crack jokes. ""What an odd reason for divorce! I wonder how square was this woman's square-shaped face? Like a television set? Microwave oven?"" Plastic surgery has long been a hot topic on Weibo. In December, users similarly expressed outrage when a Chinese man took out a newspaper advertisement pleading for his wife to go for plastic surgery. More than seven million cosmetic surgeries were performed in China in 2014. The industry's value, pegged at around 400bn yuan, is expected to double by 2019, according to the China Association of Plastics and Aesthetics.",1,5,4
anthropic_stanford-online-all-v4-s3,"A First Great Western bus and a lorry were involved in a crash on the A34 in Oxfordshire, injuring 50 people.","Fifty people were on the First Great Western rail replacement service from Oxford to Didcot when it was hit at Drayton, at 00:30 GMT. One of the three people taken to hospital sustained serious but non life-threatening injuries, police said. The southbound carriageway has been reopened but investigations are continuing. The remaining passengers, who did not require hospital treatment, were taken to Abingdon police station. Passenger Rebecca Crow posted a picture of her injuries on Twitter and wrote: ""I was on the bus, it was insane. Very thankful for no fatalities; just a bust up face!"" The bus was a replacement for the 00:05 First Great Western service from Oxford to Didcot. Bus passenger Adam Graves said on Twitter: ""One moment the bus power failed, a minute or 2 later the lorry hit us. Bus ended up part down the embankment. #a34"" He later told BBC News: ""It sort of jumped forward. There were people screaming inside. ""Then you suddenly noticed you're falling out of your seat - everyone was flying everywhere. ""Once that initial shock had passed people were quite calm. ""A lot of people on the bus had been coming back from a gig in Oxford, that's where I'd been, that kept people calm as a few recognised each other."" In a statement, a First Great Western spokesman said the firm was ""keen"" to offer support to all of the bus passengers and their families. He said initial reports from its own contractor ""suggest the driver followed correct safety procedures"", but added police were investigating. ""We are offering them any assistance we can to understand the full details of the incident,"" he said. The A34 was shut between the Botley and Milton interchanges. It had been due to reopen at 11:00 but was delayed due to difficulties in recovering the vehicles, police said. Officers on site were having problems earlier with drivers ignoring the closure and driving through, according to BBC Radio Oxford travel reporter Sara Dumbell. She said diversions had also led to lengthy traffic delays in the area.",0,5,4
anthropic_stanford-online-all-v4-s3,A Green Party councillor has been served with a legal notice for her involvement in protests against Sheffield City Council's tree felling programme.,"Nether Edge Green Party councillor, Alison Teal, was served with a legal notice for her involvement in protests against Sheffield City Council's tree felling programme. Ms Teal was previously arrested for protesting against the tree removals. Charges against her and 13 others were dropped earlier this year. More stories from across Yorkshire Sheffield City Council maintain that the removal of street trees in the city is lawful and necessary. A ""pre-action protocol letter"" from the council's legal department to Ms Teal warned the authority will seek a High Court injunction to stop her, and others involved in ""direct action"", from taking part in future protests. The council said the process would give protesters ""a chance to further and finally consider their position"" before it begins legal proceedings on 12 July. Councillor Bryan Lodge, cabinet member for Environment and Street Scene, said there had been months of ""unlawful and costly disruption"" to tree replacement works in Sheffield by a small number of protesters. ""We continue to support the right to peacefully protest, and the majority of protesters who are doing so peacefully will not be affected,"" he added. ""But there is a big difference between this and direct action which deliberately and unlawfully stops works from being carried out."" Mr Lodge said protesters had been sent a letter several weeks ago confirming their actions were unlawful. ""Streets Ahead is not just about street trees, it's about ensuring we have roads, pavements and a street scene to be proud of for many years to come,"" he added. ""In addition, it presents us with a unique opportunity to sustainably manage, increase and maintain our diverse street tree stock over a 25 year period."" The council said, despite the letter, works were still being disrupted ""causing city-wide delays"".",1,5,4
anthropic_stanford-online-all-v4-s3,"A UKIP AM has been accused of being ""abrasive"" by party activists, while a controversial anti-Islam campaigner has been cleared to run for the party leadership.","A letter sent by party activists in north Wales claimed Michelle Brown has been ""abrasive and discourteous"" to them. It was sent to UKIP's national executive committee (NEC) before a row over racial slurs about a Labour MP, for which Ms Brown apologised. But UKIP chairman Paul Oakden said the letter did not follow proper process. A UKIP assembly group spokesman said the letter was written by a group with a ""long-standing grudge"" against the AM. The ruling NEC body discussed the issue at a meeting on Friday, where they also decided to allow a controversial anti-Islam campaigner to run for the UKIP leadership. Mr Oakden said: ""A member of the NEC had contacted the person that is putting this forward and said to them they need to follow the proper process of completing the necessary forms and submitting them to the NEC. ""Members simply emailing the NEC saying we want you to do this is not the correct disciplinary process for the party, by any stretch of the imagination. ""A member of the NEC has gone back and given advice on what they need to do."" Shaun Owen, secretary of UKIP's Delyn branch, wrote to the NEC saying: ""For some time we have been appalled by the abrasive and discourteous manner of Ms Brown towards UKIP locally. ""Her lack of effort in pursuing the aims of the party both locally and nationally is of concern to members across the region."" Mr Owen added he believed members would stop supporting UKIP if Ms Brown remained in the role. However, a spokesman for the party's assembly group dismissed the letter as written by a ""tiny and insignificant group"". In February, Ms Brown denied an allegation she had smoked recreational drugs in a hotel room. Later that month, she said she had acted ""with propriety"" after it was revealed she had discussed how an advert for a job in her assembly office could be changed to help her brother get an interview for the post. Meanwhile, UKIP's NEC confirmed that 11 hopefuls in the contest to succeed Paul Nuttall as leader will be able to run as candidates. The list includes Anne Marie Waters, the founder of the Sharia Watch pressure group, who has described Islam as evil. UKIP AM David Rowlands had said Ms Waters is probably ""too extreme"" to be allowed to stand but she claimed the party was trying to ""ostracise"" her. Other candidates who have also cleared the NEC's vetting process and are going forward to a vote of the membership include Welsh activist John Rees-Evans, London Assembly member Peter Whittle and Scottish MEP David Coburn. Mr Nuttall resigned after the general election in June when the party failed to win any seats and saw its vote plummet.",1,5,5
anthropic_stanford-online-all-v4-s3,A campaign has been launched to raise awareness of the dangers of passing too close to horses on the road.,"The Pass Wide and Slow Wales campaign has collected 1,300 signatures on the assembly's e-petition website. It wants an annual road safety awareness campaign explaining to motorists how to react around horses. The British Horse Society found that since 2010 there have been 2,000 road accidents in the UK, with 1,500 because of cars passing too closely. As a result of these, 180 horses and 36 riders have died. Awareness rides were planned for Penarth, Vale of Glamorgan, Swansea, Neyland in Pembrokeshire, Machynlleth, Powys, Flintshire and Porthmadog in Gwynedd. Any petition with over 50 signatures is considered by a committee to be debated in the assembly.",1,5,4
anthropic_stanford-online-all-v4-s3,A cat in Ipswich has been stealing Christmas decorations and toy food from neighbours' homes.,"Kleptomaniac Theo, from Ipswich, first hit the headlines in 2013 for stealing Christmas decorations. Recently he has been stealing toy food, including a pineapple and an aubergine. ""We are deeply ashamed of our cat, especially as he had convinced us that he had changed his criminal ways,"" his owner wrote to neighbours. Rachael Drouet created a leaflet for her neighbours in a bid to reunite the stolen items with their rightful owners. ""This year has been relatively quiet, save for some Bettaware catalogues and the odd flat balloon,"" the leaflet read. ""Until a few days ago when he started bring home toy food. ""So far we have cheese, a green pepper, fish, a pineapple, an aubergine, and a felt basket to put them all in."" Theo, a five-year-old Siamese cross, also managed to bring home a child's body warmer. Earlier this year, he stole a catalogue from a house down the street owned by a policeman, which Ms Drouet said ""wasn't ideal"". Among the items stolen in the last couple of years are muslin cloths, fluffy pens, a USB phone charger cable and a child's piece of art. Theo also took to stealing Christmas decorations from neighbours' trees. Ms Drouet said this year she managed to reunite items from Theo's haul with their rightful owners before too long. ""I wrote the flyers and then luckily managed to find out who all the things belonged to,"" Ms Drouet said. ""You get tired of knocking on neighbours' doors and saying 'me again'"".",1,5,4
anthropic_stanford-online-all-v4-s3,"A colony of bats has been roosting in a church for 10 years, despite the church's best efforts to get them to move.","A colony has been roosting in St Hilda's Church at Ellerburn, close to the North York Moors. But despite the church's best efforts the bats are not moving and are soiling the altar and church furniture, leaving the church with an ""appalling smell"". The creatures are protected by law and cannot be wilfully disturbed. Volunteers at the church have been working for the past decade to keep the altar, stonework and woodwork clean. But the bats, roosting in the higher areas of the church continually soil the interior of the building with urine and faeces. Church warden Liz Cowley said keeping the 11th Century building in good shape was difficult. She said: ""You can see the urine marks (on the altar), they won't go away. ""If people were coming in here damaging an ancient building like this, you would say it was criminal damage. ""The smell is appalling, it's a combination of ammonia from the urine and a musty smell from the droppings that catches at the back of the throat."" Members of the church had spent Â£10,000 trying to get the bats to move and had paid for specially-built lofts nearby. The Rev Paul Mothersdale, the Rector of St Hilda's Church, said a lot of money had been invested in trying to persuade the bats to move out of the church. The Rev Mothersdale said: ""We've tried to do everything that English Nature, or Natural England, have wanted us to do. ""Money has been spent, not only by the congregation, not only out of church funds, but local people have mucked in and helped. ""And yet we're no further forward, we're still as we were 10 years ago."" Lucy Bellini, of Natural England, said the bats had to be carefully monitored. Ms Bellini said: ""It is a really regionally important roost. ""Because of that we need to be sure that there are replacement roosts that are suitable and that the bats have found and are aware of and can move to before we allow the church to seal up access points and move the bats out of the church.""",1,5,5
anthropic_stanford-online-all-v4-s3,"A council has been accused of ""double standards"" after it moved staff into a derelict site while residents were moved out.","In 2008, elderly residents were moved out of Greyhound Opening in Norwich and senior city council officers moved in. The council's head of neighbourhood and strategic housing, Kristine Reeves, was later sacked over the affair. The development proposals, put forward by Norwich City Council, include 60 flats and 45 houses. The report to the council says 35 of the houses and flats will be for social rent. A report to Norwich City Council's planning committee, which meets on Thursday, advises councillors to approve the plans. Elderly residents were moved out of Greyhound Opening and nearby Goldsmith Street seven years ago after Norwich City Council agreed to redevelop the site. The council agreed that new employees relocating to the city could move in temporarily ahead of demolition. However other staff, including Ms Reeves, also moved in, in contravention of council policy. The council resisted calls for a full independent inquiry. Its own investigation found safeguards covering conflicts of interest were in place but not followed. In February 2009, London-based architects Riches Hawley Mikhail won a competition to design a new social housing development on the site, but they were never commissioned. During that year homes on the derelict site were demolished, but the site has since remained untouched.",0,4,3
anthropic_stanford-online-all-v4-s3,A cyclist died after collapsing while taking part in a charity bike ride for the Douglas Macmillan Hospice.,"The man, who was from Staffordshire, collapsed while riding on the A5 near Chirk, Wrexham, at about 10:45 BST on Sunday. He had been raising money for the Douglas Macmillan Hospice. North Wales Police said officers attended, along with a road and air ambulance, and tried to help members of the public to save the cyclist. ""I am very sad to say that their efforts were not successful,"" temporary Supt Nick Evans said. Douglas Macmillan Hospice - known as Dougie Mac - is a specialist palliative care provider in north Staffordshire for adults, the majority of whom are affected by cancer. A number of charity bike rides for the hospice were being held on Sunday taking in routes from Stoke-on-Trent to Llangollen and back.",1,5,5
anthropic_stanford-online-all-v4-s3,"A father has donated part of his liver to save the life of his two-year-old son, who was born with a rare disease.","Harry Maceachen, from Shrewsbury, was born with a rare disease and had the life-saving transplant on Thursday. His father Simon donated part of his liver after no suitable match was found from the organ donor register. Grandmother Alison Price, a former theatre sister, said: ""The consultants are very happy with their progress."" She said it had been a ""very, very difficult 12 months"", adding: ""The operations were satisfactory. Everything is going on according to plan....the consultants are very happy with their progress."" Harry was born with biliary atresia, which meant he had blocked bile ducts. He had a transplant before his first birthday but that liver had begun to fail, so a second one was required. Harry underwent the operation on Thursday at Birmingham Children's Hospital and Mr Maceachen was operated on at Queen Elizabeth Hospital in the city. His grandmother said: ""I used to look after him (Harry) three days a week when his mother went back to teaching and he got to know me very well. ""I think we've got a special bond. He was born on my 63rd birthday."" She said Harry's two-year-old brother, Sam, has been ""impeccably behaved"". ""It's hard for him. It's the first time he's been away from his mother for as long as this and he obviously misses Harry, as we all do."" She added: ""It's brilliant with the support (the family have) had and the support we've had as grandparents. ""The whole family's pulled together and they have a wonderful lot of friends.""",0,5,4
